cell_x,cell_y,accident_count,center_x,center_y,distance_to_centroid_m
424000,425000,2,424500.0,425500.0,10323.858970514026
436000,442000,2,436500.0,442500.0,10516.270634807901
426000,444000,2,426500.0,444500.0,10822.254444656915
425000,444000,2,425500.0,444500.0,11183.679307101454
430000,445000,2,430500.0,445500.0,11260.74547498285
441000,438000,2,441500.0,438500.0,12281.524146117617
422000,444000,2,422500.0,444500.0,12686.022133894772
423000,445000,2,423500.0,445500.0,12979.939510902861
440000,442000,2,440500.0,442500.0,13370.788374204092
442000,439000,2,442500.0,439500.0,13578.641591731452
417000,441000,2,417500.0,441500.0,14429.522665873825
442000,441000,2,442500.0,441500.0,14469.7558681943
443000,428000,2,443500.0,428500.0,14695.482814493153
418000,443000,2,418500.0,443500.0,14739.469467868159
416000,441000,2,416500.0,441500.0,15302.438235266934
444000,428000,2,444500.0,428500.0,15620.618539989722
445000,430000,2,445500.0,430500.0,15970.11457069491
418000,446000,2,418500.0,446500.0,16785.215259474153
444000,444000,2,444500.0,444500.0,17775.217096829612
439000,449000,2,439500.0,449500.0,17978.087196820987
442000,447000,2,442500.0,447500.0,18230.655970383395
445000,447000,2,445500.0,447500.0,20408.24202063708
433000,440000,1,433500.0,440500.0,7173.4298207801285
437000,434000,1,437500.0,434500.0,7527.359885879878
436000,439000,1,436500.0,439500.0,8372.601564141029
427000,442000,1,427500.0,442500.0,8612.396430567935
438000,435000,1,438500.0,435500.0,8614.221901981784
426000,425000,1,426500.0,425500.0,9416.744707417583
437000,428000,1,437500.0,428500.0,9469.85557578473
421000,438000,1,421500.0,438500.0,9481.85988799289
423000,441000,1,423500.0,441500.0,9720.60568533715
437000,440000,1,437500.0,440500.0,9779.781647710031
426000,443000,1,426500.0,443500.0,9880.487212717513
438000,439000,1,438500.0,439500.0,10009.669015180818
437000,441000,1,437500.0,441500.0,10447.071014457018
427000,444000,1,427500.0,444500.0,10543.609423992499
430000,423000,1,430500.0,423500.0,10764.143586902826
428000,445000,1,428500.0,445500.0,11345.103428824816
440000,438000,1,440500.0,438500.0,11348.53853722421
439000,441000,1,439500.0,441500.0,11968.053710721813
425000,445000,1,425500.0,445500.0,12106.686026667718
436000,444000,1,436500.0,444500.0,12148.50918726109
441000,429000,1,441500.0,429500.0,12464.403796960025
440000,427000,1,440500.0,427500.0,12502.820729116302
420000,443000,1,420500.0,443500.0,13241.789042113298
441000,442000,1,441500.0,442500.0,14171.255772462733
443000,441000,1,443500.0,441500.0,15343.413678381694
445000,436000,1,445500.0,436500.0,15685.26511176825
443000,442000,1,443500.0,442500.0,15840.375848134809
438000,448000,1,438500.0,448500.0,16603.251101259342
444000,442000,1,444500.0,442500.0,16702.215883857436
446000,429000,1,446500.0,429500.0,17192.844561552545
447000,429000,1,447500.0,429500.0,18156.002107802087
444000,445000,1,444500.0,445500.0,18369.962072460734
444000,446000,1,444500.0,446500.0,18998.754439380173
443000,448000,1,443500.0,448500.0,19644.350058872016
445000,448000,1,445500.0,448500.0,21071.153411171377
